,number,values_0,values_1,datetime_start,datetime_complete,duration,params_checks,params_n_ratio,params_nskip,params_trees,params_w1,params_w2,system_attrs_nsga2:generation,system_attrs_nsga2:parents,state
0,0,inf,inf,2021-06-19 13:11:18.935589,2021-06-19 13:11:20.333080,0 days 00:00:01.397491,50,0.5493744951139398,1,4,3,7,0,,COMPLETE
1,1,0.3024636316575077,3.0627920627593994,2021-06-19 13:11:20.360083,2021-06-19 13:11:23.424429,0 days 00:00:03.064346,60,0.6415492259649922,6,13,8,10,0,,COMPLETE
2,2,0.2894340371876532,3.265610933303833,2021-06-19 13:11:23.425550,2021-06-19 13:11:26.692096,0 days 00:00:03.266546,10,0.769694128249329,8,1,7,11,0,,COMPLETE
3,3,0.25841892933264554,3.0061447620391846,2021-06-19 13:11:26.693223,2021-06-19 13:11:29.700392,0 days 00:00:03.007169,60,0.7268184875848873,6,7,13,26,0,,COMPLETE
4,4,0.29443720007840085,4.827260494232178,2021-06-19 13:11:29.701627,2021-06-19 13:11:34.529737,0 days 00:00:04.828110,70,0.9838506528651412,3,1,17,22,0,,COMPLETE
5,5,inf,inf,2021-06-19 13:11:34.530965,2021-06-19 13:11:34.674489,0 days 00:00:00.143524,60,0.30216838202445373,2,13,14,18,0,,COMPLETE
6,6,inf,inf,2021-06-19 13:11:34.675761,2021-06-19 13:11:35.087990,0 days 00:00:00.412229,10,0.5096498516816205,8,4,0,15,0,,COMPLETE
7,7,inf,inf,2021-06-19 13:11:35.095811,2021-06-19 13:11:35.413101,0 days 00:00:00.317290,60,0.45298974352870824,3,11,23,19,0,,COMPLETE
8,8,inf,inf,2021-06-19 13:11:35.414286,2021-06-19 13:11:35.585192,0 days 00:00:00.170906,90,0.30073576649850203,5,7,0,27,0,,COMPLETE
9,9,0.34968740788366537,5.017987012863159,2021-06-19 13:11:35.589139,2021-06-19 13:11:40.608475,0 days 00:00:05.019336,0,0.9239884580521727,3,11,5,18,0,,COMPLETE
10,10,0.29989982301679646,2.784724712371826,2021-06-19 13:11:40.609688,2021-06-19 13:11:43.395328,0 days 00:00:02.785640,50,0.6314256997385901,8,15,7,8,0,,COMPLETE
11,11,inf,inf,2021-06-19 13:11:43.396576,2021-06-19 13:11:43.558135,0 days 00:00:00.161559,40,0.3220886184243018,6,12,25,15,0,,COMPLETE
12,12,0.47515429512383345,6.316235303878784,2021-06-19 13:11:43.559796,2021-06-19 13:11:49.877497,0 days 00:00:06.317701,80,0.6797729306030184,1,13,2,4,0,,COMPLETE
13,13,inf,inf,2021-06-19 13:11:49.878724,2021-06-19 13:11:50.074974,0 days 00:00:00.196250,50,0.43592714569199886,6,15,27,14,0,,COMPLETE
14,14,0.2469610912944754,2.6892404556274414,2021-06-19 13:11:50.085834,2021-06-19 13:11:52.778653,0 days 00:00:02.692819,50,0.6980097073710616,10,13,10,20,0,,COMPLETE
15,15,inf,inf,2021-06-19 13:11:52.779444,2021-06-19 13:11:53.241256,0 days 00:00:00.461812,20,0.5614641217818397,10,5,12,1,0,,COMPLETE
16,16,inf,inf,2021-06-19 13:11:53.242696,2021-06-19 13:11:53.426822,0 days 00:00:00.184126,70,0.4448714133568681,7,14,1,12,0,,COMPLETE
17,17,inf,inf,2021-06-19 13:11:53.428078,2021-06-19 13:11:53.697500,0 days 00:00:00.269422,70,0.3183273398930389,2,14,18,12,0,,COMPLETE
18,18,0.30319581334053136,4.757749319076538,2021-06-19 13:11:53.703292,2021-06-19 13:11:58.462385,0 days 00:00:04.759093,70,0.6405032445183151,2,13,4,19,0,,COMPLETE
19,19,inf,inf,2021-06-19 13:11:58.463604,2021-06-19 13:11:58.666356,0 days 00:00:00.202752,0,0.3028275241018385,5,15,29,7,0,,COMPLETE
20,20,0.2898727774977578,4.5209643840789795,2021-06-19 13:11:58.686084,2021-06-19 13:12:03.208315,0 days 00:00:04.522231,70,0.9099310348833065,2,2,4,30,0,,COMPLETE
21,21,0.29548670271470506,2.809478282928467,2021-06-19 13:12:03.209439,2021-06-19 13:12:06.019778,0 days 00:00:02.810339,90,0.9119464428743755,10,7,17,3,0,,COMPLETE
22,22,0.2990422189479769,3.6817195415496826,2021-06-19 13:12:06.020877,2021-06-19 13:12:09.703531,0 days 00:00:03.682654,10,0.5778081697813601,3,6,14,24,0,,COMPLETE
23,23,0.3728867995204092,3.001544713973999,2021-06-19 13:12:09.704787,2021-06-19 13:12:12.707280,0 days 00:00:03.002493,100,0.9277306861996577,9,13,16,0,0,,COMPLETE
24,24,0.3144676295410807,5.963443994522095,2021-06-19 13:12:12.708284,2021-06-19 13:12:18.673892,0 days 00:00:05.965608,80,0.8515875236590889,1,7,5,13,0,,COMPLETE
25,25,inf,inf,2021-06-19 13:12:18.675127,2021-06-19 13:12:19.596859,0 days 00:00:00.921732,100,0.47809028914401946,0,8,11,7,0,,COMPLETE
26,26,0.23374309203486052,2.8674607276916504,2021-06-19 13:12:19.598439,2021-06-19 13:12:22.467326,0 days 00:00:02.868887,60,0.6707151259602254,9,7,22,25,0,,COMPLETE
27,27,0.300170885559059,4.766603469848633,2021-06-19 13:12:22.468566,2021-06-19 13:12:27.236042,0 days 00:00:04.767476,10,0.9167228891613541,2,12,26,22,0,,COMPLETE
28,28,inf,inf,2021-06-19 13:12:27.237264,2021-06-19 13:12:27.797421,0 days 00:00:00.560157,100,0.5483518986133651,7,3,15,0,0,,COMPLETE
29,29,inf,inf,2021-06-19 13:12:27.798690,2021-06-19 13:12:28.065329,0 days 00:00:00.266639,0,0.36679282417652836,9,14,8,16,0,,COMPLETE
30,30,0.2964132847902414,2.9596211910247803,2021-06-19 13:12:28.076426,2021-06-19 13:12:31.044901,0 days 00:00:02.968475,90,0.8051303686744828,7,1,8,14,0,,COMPLETE
